person,personLabel,Property27Label,Property28Label,Property29Label,Property30Label,Property31Label,Property32Label,Property33Label,Property34Label,Property35Label,Property36Label,Property37Label,Property38Label,Property39Label,Property40Label,Property41Label,Property42Label,Property43Label,Property44Label,Property45Label,Property46Label,Property47Label,Property48Label,Property49Label,Property50Label,Property51Label,Property52Label
http://www.wikidata.org/entity/Q10738,Dwayne Johnson,The Rock,Fast Five,,,,,COVID-19,,,,,English,,Dwayne Douglas Johnson,,,140000000,college football,,,,,,,,
http://www.wikidata.org/entity/Q10738,Dwayne Johnson,The Rock,The Scorpion King,,,,,COVID-19,,,,,English,,Dwayne Douglas Johnson,,,140000000,college football,,,,,,,,
http://www.wikidata.org/entity/Q10738,Dwayne Johnson,The Rock,Fast & Furious 6,,,,,COVID-19,,,,,English,,Dwayne Douglas Johnson,,,140000000,college football,,,,,,,,
http://www.wikidata.org/entity/Q10738,Dwayne Johnson,The Rock,Furious 7,,,,,COVID-19,,,,,English,,Dwayne Douglas Johnson,,,140000000,college football,,,,,,,,
http://www.wikidata.org/entity/Q10738,Dwayne Johnson,The Rock,Moana,,,,,COVID-19,,,,,English,,Dwayne Douglas Johnson,,,140000000,college football,,,,,,,,
http://www.wikidata.org/entity/Q10738,Dwayne Johnson,The Rock,Rampage,,,,,COVID-19,,,,,English,,Dwayne Douglas Johnson,,,140000000,college football,,,,,,,,
http://www.wikidata.org/entity/Q10738,Dwayne Johnson,The Rock,Skyscraper,,,,,COVID-19,,,,,English,,Dwayne Douglas Johnson,,,140000000,college football,,,,,,,,
http://www.wikidata.org/entity/Q10738,Dwayne Johnson,The Rock,Red Notice,,,,,COVID-19,,,,,English,,Dwayne Douglas Johnson,,,140000000,college football,,,,,,,,
http://www.wikidata.org/entity/Q12003,Cher,Bonnie Joe Mason,,,,,,,,voice,,Sonny Bono,English,,Cherilyn Sarkisian,,,,,,,,,,,,
http://www.wikidata.org/entity/Q12003,Cher,Cher,,,,,,,,voice,,Sonny Bono,English,,Cherilyn Sarkisian,,,,,,,,,,,,
http://www.wikidata.org/entity/Q12003,Cher,Bonnie Joe Mason,,,,,,,,voice,,Gregg Allman,English,,Cherilyn Sarkisian,,,,,,,,,,,,
http://www.wikidata.org/entity/Q12003,Cher,Cher,,,,,,,,voice,,Gregg Allman,English,,Cherilyn Sarkisian,,,,,,,,,,,,
http://www.wikidata.org/entity/Q12003,Cher,Bonnie Joe Mason,,,,,,,,voice,,Sonny Bono,American English,,Cherilyn Sarkisian,,,,,,,,,,,,
http://www.wikidata.org/entity/Q12003,Cher,Cher,,,,,,,,voice,,Sonny Bono,American English,,Cherilyn Sarkisian,,,,,,,,,,,,
http://www.wikidata.org/entity/Q12003,Cher,Bonnie Joe Mason,,,,,,,,voice,,Gregg Allman,American English,,Cherilyn Sarkisian,,,,,,,,,,,,
http://www.wikidata.org/entity/Q12003,Cher,Cher,,,,,,,,voice,,Gregg Allman,American English,,Cherilyn Sarkisian,,,,,,,,,,,,
http://www.wikidata.org/entity/Q12857,Daniel Tammet,,Born on a Blue Day,,,,,synesthesia,,,,,Esperanto,,Daniel Paul Corney,,,,,,,,,,,,
http://www.wikidata.org/entity/Q12857,Daniel Tammet,,Embracing the Wide Sky,,,,,synesthesia,,,,,Esperanto,,Daniel Paul Corney,,,,,,,,,,,,
http://www.wikidata.org/entity/Q12857,Daniel Tammet,,Every Word is a Bird We Teach to Sing,,,,,synesthesia,,,,,Esperanto,,Daniel Paul Corney,,,,,,,,,,,,
http://www.wikidata.org/entity/Q12857,Daniel Tammet,,Born on a Blue Day,,,,,Asperger syndrome,,,,,Esperanto,,Daniel Paul Corney,,,,,,,,,,,,
http://www.wikidata.org/entity/Q12857,Daniel Tammet,,Embracing the Wide Sky,,,,,Asperger syndrome,,,,,Esperanto,,Daniel Paul Corney,,,,,,,,,,,,
http://www.wikidata.org/entity/Q12857,Daniel Tammet,,Every Word is a Bird We Teach to Sing,,,,,Asperger syndrome,,,,,Esperanto,,Daniel Paul Corney,,,,,,,,,,,,
http://www.wikidata.org/entity/Q12857,Daniel Tammet,,Born on a Blue Day,,,,,savant syndrome,,,,,Esperanto,,Daniel Paul Corney,,,,,,,,,,,,
http://www.wikidata.org/entity/Q12857,Daniel Tammet,,Embracing the Wide Sky,,,,,savant syndrome,,,,,Esperanto,,Daniel Paul Corney,,,,,,,,,,,,
http://www.wikidata.org/entity/Q12857,Daniel Tammet,,Every Word is a Bird We Teach to Sing,,,,,savant syndrome,,,,,Esperanto,,Daniel Paul Corney,,,,,,,,,,,,
http://www.wikidata.org/entity/Q12857,Daniel Tammet,,Born on a Blue Day,,,,,synesthesia,,,,,French,,Daniel Paul Corney,,,,,,,,,,,,
http://www.wikidata.org/entity/Q12857,Daniel Tammet,,Embracing the Wide Sky,,,,,synesthesia,,,,,French,,Daniel Paul Corney,,,,,,,,,,,,
http://www.wikidata.org/entity/Q12857,Daniel Tammet,,Every Word is a Bird We Teach to Sing,,,,,synesthesia,,,,,French,,Daniel Paul Corney,,,,,,,,,,,,
http://www.wikidata.org/entity/Q12857,Daniel Tammet,,Born on a Blue Day,,,,,Asperger syndrome,,,,,French,,Daniel Paul Corney,,,,,,,,,,,,
http://www.wikidata.org/entity/Q12857,Daniel Tammet,,Embracing the Wide Sky,,,,,Asperger syndrome,,,,,French,,Daniel Paul Corney,,,,,,,,,,,,
http://www.wikidata.org/entity/Q12857,Daniel Tammet,,Every Word is a Bird We Teach to Sing,,,,,Asperger syndrome,,,,,French,,Daniel Paul Corney,,,,,,,,,,,,
http://www.wikidata.org/entity/Q12857,Daniel Tammet,,Born on a Blue Day,,,,,savant syndrome,,,,,French,,Daniel Paul Corney,,,,,,,,,,,,
http://www.wikidata.org/entity/Q12857,Daniel Tammet,,Embracing the Wide Sky,,,,,savant syndrome,,,,,French,,Daniel Paul Corney,,,,,,,,,,,,
http://www.wikidata.org/entity/Q12857,Daniel Tammet,,Every Word is a Bird We Teach to Sing,,,,,savant syndrome,,,,,French,,Daniel Paul Corney,,,,,,,,,,,,
http://www.wikidata.org/entity/Q12857,Daniel Tammet,,Born on a Blue Day,,,,,synesthesia,,,,,German,,Daniel Paul Corney,,,,,,,,,,,,
http://www.wikidata.org/entity/Q12857,Daniel Tammet,,Embracing the Wide Sky,,,,,synesthesia,,,,,German,,Daniel Paul Corney,,,,,,,,,,,,
http://www.wikidata.org/entity/Q12857,Daniel Tammet,,Every Word is a Bird We Teach to Sing,,,,,synesthesia,,,,,German,,Daniel Paul Corney,,,,,,,,,,,,
http://www.wikidata.org/entity/Q12857,Daniel Tammet,,Born on a Blue Day,,,,,Asperger syndrome,,,,,German,,Daniel Paul Corney,,,,,,,,,,,,
