person,personLabel,Property0Label,Property1Label,Property2Label,Property3Label,Property4Label,Property5Label,Property6Label,Property7Label,Property8Label,Property9Label,Property10Label,Property11Label,Property12Label,Property13Label,Property614Label,Property15Label,Property16Label,Property17Label,Property18Label,Property19Label,Property20Label,Property21Label,Property22Label,Property23Label,Property24Label,Property25Label,Property26Label
http://www.wikidata.org/entity/Q1141445,108,Alessandria,male,Italy,,,,,,,,painter,,,,,,,,,1978-01-01T00:00:00Z,,,,,,Guido,
http://www.wikidata.org/entity/Q3977900,2562,The Hague,male,Kingdom of the Netherlands,,,,,,,,disc jockey,,garage house,,,,,,,1979-01-01T00:00:00Z,,,,,,Dave,
http://www.wikidata.org/entity/Q3977900,2562,The Hague,male,Kingdom of the Netherlands,,,,,,,,record producer,,garage house,,,,,,,1979-01-01T00:00:00Z,,,,,,Dave,
http://www.wikidata.org/entity/Q3977900,2562,The Hague,male,Kingdom of the Netherlands,,,,,,,,musician,,garage house,,,,,,,1979-01-01T00:00:00Z,,,,,,Dave,
http://www.wikidata.org/entity/Q52152602,03 Greedo,South Los Angeles,male,United States of America,,,,,,,,rapper,,,,,,,,,1987-07-26T00:00:00Z,,,,,,,
http://www.wikidata.org/entity/Q4545622,0x80,,male,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q79823084,1.Cuz,Ljungarum,male,Sweden,,,,,,,,rapper,,rap,,,,,,,1997-09-23T00:00:00Z,,,,,Bakar,,
http://www.wikidata.org/entity/Q79823084,1.Cuz,Ljungarum,male,Sweden,,,,,,,,rapper,,rap,,,,,,,1997-09-23T00:00:00Z,,,,,Abdikarim,,
http://www.wikidata.org/entity/Q105452371,220 Kid,,male,,,,,,,,,record producer,,,,,,,,,1989-05-08T00:00:00Z,,,,,,,
http://www.wikidata.org/entity/Q105452371,220 Kid,,male,,,,,,,,,musician,,,,,,,,,1989-05-08T00:00:00Z,,,,,,,
http://www.wikidata.org/entity/Q105452371,220 Kid,,male,,,,,,,,,songwriter,,,,,,,,,1989-05-08T00:00:00Z,,,,,,,
http://www.wikidata.org/entity/Q105452371,220 Kid,,male,,,,,,,,,model,,,,,,,,,1989-05-08T00:00:00Z,,,,,,,
http://www.wikidata.org/entity/Q110653609,25K,,male,South Africa,,,,,,,,rapper,,,,,,,,,,,,,,,,
